height_mm,volume_litres
126.000,40.468085
126.100,40.511432
126.200,40.554779
126.300,40.598127
126.400,40.641476
126.500,40.684824
126.600,40.728173
126.700,40.771522
126.800,40.814871
126.900,40.858220
127.000,40.901569
127.100,40.944919
127.200,40.988268
127.300,41.031618
127.400,41.074968
127.500,41.118317
127.600,41.161667
127.700,41.205016
127.800,41.248366
127.900,41.291715
128.000,41.335065
128.100,41.378414
128.200,41.421764
128.300,41.465113
128.400,41.508463
128.500,41.551812
128.600,41.595162
128.700,41.638511
128.800,41.681860
128.900,41.725210
129.000,41.768559
129.100,41.811909
129.200,41.855258
129.300,41.898608
129.400,41.941957
129.500,41.985307
129.600,42.028656
129.700,42.072006
129.800,42.115355
129.900,42.158705
130.000,42.202054
130.100,42.245404
130.200,42.288753
130.300,42.332103
130.400,42.375452
130.500,42.418802
130.600,42.462151
130.700,42.505501
130.800,42.548850
130.900,42.592200
131.000,42.635549
131.100,42.678899
131.200,42.722248
131.300,42.765598
131.400,42.808947
131.500,42.852297
131.600,42.895646
131.700,42.938996
131.800,42.982345
131.900,43.025695
132.000,43.069044
132.100,43.112394
132.200,43.155743
132.300,43.199093
132.400,43.242442
132.500,43.285792
132.600,43.329141
132.700,43.372491
132.800,43.415840
132.900,43.459190
133.000,43.502539
133.100,43.545889
133.200,43.589238
133.300,43.632588
133.400,43.675937
133.500,43.719287
133.600,43.762636
133.700,43.805986
133.800,43.849335
133.900,43.892685
134.000,43.936034
134.100,43.979383
134.200,44.022733
134.300,44.066082
134.400,44.109432
134.500,44.152781
134.600,44.196131
134.700,44.239480
134.800,44.282830
134.900,44.326179
135.000,44.369529
135.100,44.412878
135.200,44.456228
135.300,44.499577
135.400,44.542927
135.500,44.586276
135.600,44.629626
135.700,44.672975
135.800,44.716325
135.900,44.759674
136.000,44.803024
136.100,44.846373
136.200,44.889723
136.300,44.933072
136.400,44.976422
136.500,45.019771
136.600,45.063121
136.700,45.106470
136.800,45.149820
136.900,45.193169
137.000,45.236519
137.100,45.279868
137.200,45.323218
137.300,45.366567
137.400,45.409917
137.500,45.453266
137.600,45.496616
137.700,45.539965
137.800,45.583315
137.900,45.626664
138.000,45.670014
138.100,45.713363
138.200,45.756713
138.300,45.800062
138.400,45.843412
138.500,45.886761
138.600,45.930111
138.700,45.973460
138.800,46.016810
138.900,46.060159
139.000,46.103509
139.100,46.146858
139.200,46.190208
139.300,46.233557
139.400,46.276906
139.500,46.320256
139.600,46.363605
139.700,46.406955
139.800,46.450304
139.900,46.493654
140.000,46.537003
140.100,46.580353
140.200,46.623702
140.300,46.667052
140.400,46.710401
140.500,46.753751
140.600,46.797100
140.700,46.840450
140.800,46.883799
140.900,46.927149
141.000,46.970498
141.100,47.013848
141.200,47.057197
141.300,47.100547
141.400,47.143896
141.500,47.187246
141.600,47.230595
141.700,47.273945
141.800,47.317294
141.900,47.360644
142.000,47.403993
142.100,47.447343
142.200,47.490692
142.300,47.534042
142.400,47.577391
142.500,47.620741
142.600,47.664090
